anonymity_id,company_anonymity,coworkers_know,supervisor_know,mental_health_interview,phys_health_interview,survey_id
0,Yes,Some of them,Yes,No,Maybe,0
1,Don't know,No,No,No,No,1
2,Don't know,Yes,Yes,Yes,Yes,2
3,No,Some of them,No,Maybe,Maybe,3
4,Don't know,Some of them,Yes,Yes,Yes,4
5,Don't know,Yes,Yes,No,Maybe,5
6,No,Some of them,No,No,No,6
7,Yes,No,No,No,No,7
8,No,Yes,Yes,No,Maybe,8
9,Don't know,Yes,Yes,Maybe,Maybe,9
10,Don't know,Some of them,Yes,No,No,10
11,Don't know,Yes,Yes,Yes,Yes,11
12,Don't know,Yes,Yes,Maybe,Maybe,12
13,Don't know,Yes,Yes,No,No,13
14,Don't know,Some of them,Some of them,Maybe,Yes,14
15,Don't know,Yes,Some of them,Maybe,Maybe,15
16,Don't know,Some of them,No,Maybe,Maybe,16
17,Don't know,Some of them,Yes,No,No,17
18,Yes,Yes,Yes,No,Yes,18
19,Yes,Some of them,Some of them,Maybe,Maybe,19
20,No,Some of them,Some of them,No,No,20
21,Yes,Some of them,Some of them,No,Maybe,21
22,Don't know,Some of them,Yes,No,Maybe,22
23,Don't know,No,No,No,Yes,23
24,Yes,Yes,Yes,No,Yes,24
25,No,Some of them,Yes,No,Yes,25
26,Don't know,Some of them,No,No,No,26
27,Don't know,Yes,Yes,Maybe,Maybe,27
28,Don't know,Some of them,No,No,No,28
29,Don't know,Some of them,No,No,Maybe,29
30,Don't know,Some of them,Some of them,No,Maybe,30
31,Don't know,No,No,No,No,31
32,Yes,Some of them,Yes,No,Yes,32
33,Yes,Some of them,Some of them,Maybe,Yes,33
34,Don't know,Some of them,No,No,Maybe,34
35,Don't know,Yes,Yes,Maybe,Maybe,35
36,Don't know,Some of them,No,No,No,36
37,Don't know,Some of them,Some of them,No,Maybe,37
38,Don't know,Some of them,Yes,No,Maybe,38
39,Yes,Yes,Yes,Maybe,Maybe,39
40,Don't know,Some of them,No,No,Yes,40
41,Don't know,Some of them,No,No,Maybe,41
42,Yes,Some of them,No,No,No,42
43,Don't know,No,Some of them,No,No,43
44,Don't know,No,No,No,Maybe,44
45,Yes,Some of them,Yes,No,No,45
46,Don't know,Some of them,Yes,Maybe,Yes,46
47,Don't know,Yes,Yes,Maybe,Yes,47
48,Don't know,Yes,Yes,No,No,48
49,Don't know,Some of them,Yes,No,No,49
50,Yes,No,No,No,Maybe,50
51,Don't know,Some of them,Yes,Maybe,Maybe,51
52,Don't know,Some of them,Some of them,Maybe,Maybe,52
53,Don't know,Some of them,Yes,No,No,53
54,Don't know,No,No,No,Maybe,54
55,Yes,No,No,No,No,55
56,Don't know,Yes,Yes,No,No,56
57,Don't know,Some of them,Yes,Yes,Yes,57
58,Yes,Some of them,Yes,Maybe,Yes,58
59,No,No,No,No,Maybe,59
60,Don't know,Some of them,No,No,Maybe,60
61,Yes,Yes,Yes,Maybe,Yes,61
62,Don't know,Yes,Yes,Maybe,Maybe,62
63,Don't know,No,No,No,No,63
64,Don't know,Some of them,Yes,No,Maybe,64
65,Don't know,Some of them,No,No,No,65
66,Don't know,Some of them,Yes,No,Maybe,66
67,Don't know,Some of them,Some of them,Maybe,Yes,67
68,Don't know,Some of them,No,No,Maybe,68
69,Don't know,Some of them,No,No,No,69
70,Don't know,Some of them,Some of them,No,No,70
71,Don't know,Some of them,Yes,No,No,71
72,Yes,Yes,Yes,No,No,72
73,Yes,Some of them,Yes,Maybe,Yes,73
74,Don't know,Some of them,Some of them,No,Maybe,74
75,No,No,No,No,Maybe,75
76,Don't know,Yes,Yes,Maybe,Yes,76
77,Yes,Yes,Yes,Maybe,Maybe,77
78,Don't know,Some of them,No,No,Yes,78
79,Don't know,Some of them,Some of them,Maybe,Yes,79
80,Don't know,Yes,Some of them,Maybe,Maybe,80
81,Don't know,Some of them,Yes,Maybe,Maybe,81
82,Don't know,Some of them,Yes,No,No,82
83,Yes,Some of them,Yes,No,Maybe,83
84,Don't know,No,No,No,Maybe,84
85,Don't know,Some of them,Yes,Maybe,Maybe,85
86,Don't know,Some of them,No,No,Maybe,86
87,Don't know,Some of them,Some of them,No,No,87
88,Don't know,Some of them,Some of them,No,Maybe,88
89,Don't know,Some of them,Some of them,No,No,89
90,Yes,Some of them,Yes,No,No,90
91,Yes,Yes,Yes,Yes,Yes,91
92,Don't know,Some of them,No,No,Maybe,92
93,Yes,Yes,Yes,Yes,Yes,93
94,Don't know,Some of them,Yes,No,Maybe,94
95,Don't know,Yes,Yes,Maybe,Maybe,95
96,Don't know,Some of them,No,No,Maybe,96
97,Don't know,Some of them,Yes,Maybe,Yes,97
98,Don't know,Some of them,No,No,Maybe,98
99,Yes,Yes,Yes,Maybe,Maybe,99
100,No,No,No,No,Maybe,100
101,Don't know,No,Some of them,No,No,101
102,Don't know,Some of them,Yes,No,No,102
103,Yes,Some of them,Yes,Maybe,Maybe,103
