company_id,no_of_employees,tech_company,benefits,care_options,wellness_program,leave,mental_vs_physical,survey_id
0,6-25,Yes,Yes,Not sure,No,Somewhat easy,Yes,0
1,More than 1000,No,Don't know,No,Don't know,Don't know,Don't know,1
2,6-25,Yes,No,No,No,Somewhat difficult,No,2
3,26-100,Yes,No,Yes,No,Somewhat difficult,No,3
4,100-500,Yes,Yes,No,Don't know,Don't know,Don't know,4
5,6-25,Yes,Yes,Not sure,No,Don't know,Don't know,5
6,1-5,Yes,No,No,No,Somewhat difficult,Don't know,6
7,1-5,Yes,No,Yes,No,Don't know,No,7
8,100-500,Yes,Yes,Yes,No,Very difficult,No,8
9,26-100,Yes,Don't know,No,Don't know,Don't know,Yes,9
10,6-25,Yes,Don't know,No,No,Don't know,Don't know,10
11,100-500,Yes,Don't know,Not sure,No,Don't know,Don't know,11
12,26-100,No,Yes,Yes,No,Somewhat difficult,No,12
13,500-1000,Yes,Don't know,Not sure,No,Don't know,Don't know,13
14,6-25,Yes,Don't know,Not sure,Don't know,Somewhat easy,Yes,14
15,26-100,Yes,Yes,Not sure,No,Somewhat easy,Don't know,15
16,26-100,Yes,Don't know,No,Don't know,Very easy,No,16
17,6-25,Yes,Yes,Yes,No,Don't know,No,17
18,1-5,Yes,Yes,Not sure,Yes,Very easy,Yes,18
19,6-25,Yes,No,No,Yes,Somewhat easy,Don't know,19
20,100-500,Yes,Yes,Yes,No,Somewhat difficult,No,20
21,1-5,Yes,No,No,No,Somewhat difficult,Yes,21
22,26-100,Yes,Yes,Yes,No,Don't know,No,22
23,More than 1000,No,Don't know,No,No,Don't know,Don't know,23
24,26-100,Yes,Yes,Not sure,Don't know,Don't know,Don't know,24
25,More than 1000,No,Yes,Yes,No,Very easy,No,25
26,1-5,Yes,Don't know,Not sure,No,Don't know,Don't know,26
27,6-25,Yes,Yes,Yes,Don't know,Don't know,Yes,27
28,26-100,Yes,Don't know,Not sure,No,Somewhat difficult,No,28
29,6-25,Yes,No,No,No,Very difficult,No,29
30,6-25,Yes,No,No,No,Don't know,No,30
31,1-5,Yes,No,Yes,No,Somewhat difficult,No,31
32,500-1000,Yes,Don't know,No,No,Somewhat easy,Don't know,32
33,26-100,Yes,Yes,Yes,Yes,Very easy,Don't know,33
34,1-5,Yes,Yes,Yes,No,Don't know,Yes,34
35,6-25,Yes,No,Yes,No,Very easy,Don't know,35
36,1-5,Yes,No,No,No,Very easy,Don't know,36
