conseq_id,mental_health_consequence,phys_health_consequence,obs_consequence,work_interfere,survey_id
0,No,No,No,Often,0
1,Maybe,No,No,Rarely,1
2,No,No,No,Rarely,2
3,Yes,Yes,Yes,Often,3
4,No,No,No,Never,4
5,No,No,No,Sometimes,5
6,Maybe,Maybe,No,Sometimes,6
7,No,No,No,Never,7
8,Maybe,No,No,Sometimes,8
9,No,No,No,Never,9
10,No,No,No,Sometimes,10
11,No,No,No,Never,11
12,Yes,Yes,Yes,Sometimes,12
13,No,No,No,Never,13
14,No,No,No,Never,14
15,No,No,No,Rarely,15
16,Maybe,No,No,Sometimes,16
17,Maybe,No,No,Sometimes,17
18,No,No,Yes,Sometimes,18
19,No,No,No,NA,19
20,Maybe,No,No,Sometimes,20
21,No,No,No,Never,21
22,Maybe,No,No,Often,22
23,Maybe,No,No,Never,23
24,No,No,No,Rarely,24
25,Yes,No,No,Sometimes,25
26,Maybe,Maybe,No,NA,26
27,No,No,No,Rarely,27
28,No,No,No,Sometimes,28
29,Yes,Maybe,No,Sometimes,29
30,Yes,Yes,No,Never,30
31,Yes,No,Yes,Rarely,31
32,Maybe,No,No,Sometimes,32
33,Maybe,No,No,Sometimes,33
34,Maybe,No,No,Sometimes,34
35,No,No,No,Rarely,35
36,Yes,Maybe,No,Rarely,36
37,Maybe,No,No,NA,37
38,No,No,No,NA,38
39,No,No,No,Rarely,39
40,Maybe,Maybe,Yes,Sometimes,40
41,Yes,Yes,No,NA,41
42,Maybe,No,No,Sometimes,42
43,Yes,Maybe,No,Often,43
44,No,No,No,Sometimes,44
45,No,No,No,Sometimes,45
46,No,Maybe,No,NA,46
47,No,No,No,NA,47
48,No,No,No,Sometimes,48
49,Maybe,No,No,Rarely,49
50,Maybe,No,No,Often,50
51,No,No,No,NA,51
52,Maybe,Maybe,No,NA,52
53,Maybe,No,No,Never,53
54,No,No,No,NA,54
55,Maybe,No,No,Rarely,55
56,No,No,No,NA,56
57,No,Maybe,No,Sometimes,57
58,No,No,No,NA,58
59,Yes,No,No,Often,59
60,Yes,Maybe,Yes,Sometimes,60
61,No,No,No,Sometimes,61
62,No,No,No,Never,62
63,Yes,No,Yes,NA,63
64,No,No,No,Sometimes,64
65,Yes,Maybe,Yes,Sometimes,65
66,No,No,No,Often,66
67,Maybe,No,No,Sometimes,67
68,Maybe,No,No,NA,68
69,Maybe,No,No,Rarely,69
70,Maybe,No,No,Never,70
71,No,No,No,Never,71
72,Maybe,No,No,Rarely,72
73,No,No,No,NA,73
74,Maybe,No,No,Never,74
75,Yes,No,No,NA,75
76,No,No,No,NA,76
77,No,No,No,Sometimes,77
78,Yes,No,No,Sometimes,78
79,No,No,No,Never,79
80,No,No,No,Sometimes,80
81,No,No,No,Never,81
82,No,No,No,Never,82
83,Maybe,Maybe,No,Often,83
84,Yes,No,No,Never,84
85,No,No,No,NA,85
86,Maybe,No,Yes,Often,86
87,Yes,Maybe,No,Rarely,87
88,Maybe,No,Yes,Sometimes,88
89,No,No,No,NA,89
90,No,No,No,Never,90
91,No,No,No,Sometimes,91
92,Maybe,No,No,NA,92
93,No,No,No,NA,93
94,Maybe,No,No,Sometimes,94
95,No,No,No,Never,95
96,Maybe,Maybe,No,Rarely,96
97,No,No,No,Sometimes,97
98,Maybe,No,No,Sometimes,98
99,No,No,No,Often,99
100,Yes,No,Yes,Sometimes,100
101,Maybe,Maybe,No,Never,101
102,No,No,No,NA,102
103,No,No,No,Sometimes,103
104,No,No,No,Never,104
105,No,No,No,Rarely,105
106,No,No,No,Sometimes,106
107,Maybe,No,Yes,Rarely,107
108,Maybe,No,No,Never,108
109,Maybe,No,No,Sometimes,109
110,Yes,No,No,Sometimes,110
111,No,No,No,Sometimes,111
112,No,No,No,Rarely,112
113,Maybe,No,No,Never,113
114,Maybe,No,No,NA,114
115,No,No,Yes,Never,115
116,Yes,No,No,Often,116
117,Maybe,No,No,Rarely,117
118,No,No,No,Rarely,118
119,No,No,No,NA,119
120,Yes,Yes,No,Never,120
121,No,No,No,NA,121
122,No,No,No,Sometimes,122
123,Maybe,No,No,Often,123
124,Maybe,No,Yes,Never,124
125,Yes,No,No,Never,125
126,No,No,No,NA,126
127,Yes,No,No,Rarely,127
128,Maybe,Maybe,No,Sometimes,128
129,Yes,Yes,No,Sometimes,129
130,Maybe,No,No,Sometimes,130
131,Maybe,No,No,Rarely,131
132,No,No,No,Never,132
133,No,No,No,NA,133
134,No,No,No,Never,134
135,Yes,Maybe,No,Never,135
136,No,No,No,Never,136
137,No,No,No,Often,137
138,Maybe,No,No,NA,138
139,No,No,No,NA,139
140,Maybe,No,No,Sometimes,140
141,Yes,Yes,No,Sometimes,141
142,Yes,No,No,Never,142
143,No,No,No,NA,143
144,Maybe,Maybe,No,NA,144
145,Maybe,Maybe,No,Rarely,145
146,Maybe,Maybe,No,Never,146
147,Yes,Yes,No,Sometimes,147
148,Yes,No,Yes,Rarely,148
149,Maybe,No,No,NA,149
150,Maybe,No,No,NA,150
151,No,No,No,Never,151
152,No,No,No,Rarely,152
153,No,No,No,Never,153
154,Yes,Maybe,Yes,Rarely,154
155,Maybe,No,No,Sometimes,155
156,No,No,No,Sometimes,156
157,Yes,Maybe,No,Often,157
158,Maybe,No,Yes,Rarely,158
159,Maybe,No,Yes,Sometimes,159
160,Maybe,Maybe,Yes,Sometimes,160
161,Yes,Yes,No,Sometimes,161
162,No,No,No,Never,162
163,Maybe,No,No,Rarely,163
164,No,No,No,Sometimes,164
165,No,No,No,NA,165
166,Maybe,No,No,Never,166
167,Maybe,No,No,NA,167
168,Yes,No,No,Sometimes,168
169,Maybe,Maybe,No,Rarely,169
170,No,No,No,Sometimes,170
171,Maybe,No,No,Often,171
172,Yes,Maybe,No,Never,172
173,Maybe,Maybe,No,NA,173
174,No,No,No,Sometimes,174
175,Maybe,No,No,Never,175
176,No,No,No,NA,176
177,No,No,Yes,Often,177
178,No,No,No,Sometimes,178
179,No,No,No,NA,179
180,Maybe,Maybe,No,Never,180
181,Maybe,Maybe,No,Sometimes,181
182,No,No,No,Never,182
183,Yes,Yes,No,Sometimes,183
184,Yes,Maybe,No,Often,184
185,Yes,No,No,NA,185
186,Maybe,No,No,Sometimes,186
187,No,No,No,NA,187
188,No,No,No,NA,188
189,Maybe,No,No,Never,189
190,Maybe,Maybe,Yes,Often,190
191,Maybe,Maybe,No,Sometimes,191
192,Yes,Maybe,No,Sometimes,192
193,No,No,No,Rarely,193
194,Yes,Yes,Yes,Sometimes,194
195,Maybe,Maybe,No,Never,195
196,Maybe,Maybe,No,Never,196
197,No,No,No,Rarely,197
198,Maybe,Maybe,No,NA,198
199,Maybe,Maybe,No,Sometimes,199
200,No,No,No,Sometimes,200
201,Maybe,No,No,Sometimes,201
202,Maybe,Maybe,No,Often,202
203,Yes,No,No,Sometimes,203
204,No,No,No,NA,204
205,Yes,Maybe,Yes,Sometimes,205
206,No,No,No,Sometimes,206
207,Maybe,No,No,Often,207
208,No,No,No,Never,208
209,Yes,Maybe,No,NA,209
210,No,No,No,NA,210
211,Yes,Maybe,No,Sometimes,211
212,Yes,No,No,Often,212
213,Yes,Maybe,Yes,Sometimes,213
214,No,No,No,Sometimes,214
215,No,No,No,Sometimes,215
216,No,No,No,Often,216
217,No,No,No,NA,217
218,Maybe,No,No,Never,218
219,Yes,No,No,NA,219
220,No,No,No,NA,220
221,No,No,No,NA,221
222,No,No,No,Rarely,222
223,Yes,No,No,Sometimes,223
224,No,No,No,Never,224
225,No,No,No,NA,225
226,No,No,No,Rarely,226
227,Yes,Yes,No,Sometimes,227
228,Maybe,No,No,Never,228
229,Maybe,No,No,Sometimes,229
230,Maybe,No,Yes,Sometimes,230
231,Maybe,Maybe,No,Rarely,231
232,Yes,No,No,Sometimes,232
233,Maybe,Maybe,No,Sometimes,233
234,No,No,No,NA,234
235,Yes,Maybe,No,Never,235
236,Maybe,No,No,Often,236
237,No,No,Yes,NA,237
238,No,No,No,Sometimes,238
239,No,No,Yes,Sometimes,239
240,No,No,No,NA,240
241,Maybe,No,Yes,Sometimes,241
242,No,No,No,Sometimes,242
243,Maybe,No,No,NA,243
244,No,No,No,Never,244
245,Yes,Maybe,Yes,Sometimes,245
246,Maybe,No,No,Often,246
247,No,No,No,NA,247
248,Maybe,No,No,Sometimes,248
249,Maybe,No,No,Rarely,249
250,Maybe,No,No,Sometimes,250
251,No,No,Yes,NA,251
252,No,No,No,Rarely,252
253,Maybe,Maybe,No,NA,253
254,No,No,No,Sometimes,254
255,Yes,No,No,Often,255
256,Maybe,Maybe,No,Sometimes,256
257,No,No,No,Never,257
258,Yes,No,No,NA,258
259,Yes,Maybe,Yes,Often,259
260,Maybe,Maybe,No,Rarely,260
261,Yes,Yes,No,Sometimes,261
262,No,No,No,Sometimes,262
